[34628:35004:0504/120620.084:WARNING:chrome_main_delegate.cc(745)] This is Chrome version 128.0.6613.138 (not a warning)
[34628:41848:0504/120620.158:ERROR:google_update_settings.cc(265)] Failed opening key Software\Chromium to set usagestats; result: 5
[34628:35004:0504/120620.166:WARNING:account_consistency_mode_manager.cc(77)] Desktop Identity Consistency cannot be enabled as no OAuth client ID and client secret have been configured.
[52280:43500:0504/120625.751:WARNING:frame_impl.cc(430)] virtual CefFrameImpl::SendProcessMessage sent to detached frame 5-D5936A7C23A34635D645A6AF0FDB8ACF will be ignored
[52328:40516:0504/120626.215:WARNING:spdy_session.cc(2985)] Received HEADERS for invalid stream 5
[43264:50508:0504/120936.973:WARNING:frame_impl.cc(430)] virtual CefFrameImpl::SendProcessMessage sent to detached frame 7-49F5136D45BE8EBB89DA2AC8C3A80359 will be ignored
[46896:4584:0504/120942.397:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #36).
[46896:4584:0504/120942.414:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #36).
[46896:4584:0504/120942.430:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #36).
[46896:4584:0504/120951.269:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #101).
[46896:4584:0504/120951.284:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #101).
[46896:4584:0504/120951.300:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #101).
[46896:4584:0504/120951.316:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #101).
[46896:4584:0504/120951.346:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #101).
[46896:4584:0504/120951.362:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #101).
[46896:4584:0504/120959.217:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #158).
[46896:4584:0504/120959.234:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #158).
[46896:4584:0504/120959.250:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #158).
[46896:4584:0504/120959.267:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #158).
[46896:4584:0504/120959.283:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #158).
[46896:4584:0504/120959.301:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #158).
